iter	Passed	Remaining
893	10034	1189
894	10046	1178
895	10058	1167
896	10068	1156
897	10080	1144
898	10090	1133
899	10102	1122
900	10113	1111
901	10124	1100
902	10136	1088
903	10147	1077
904	10158	1066
905	10169	1055
906	10181	1043
907	10193	1032
908	10205	1021
909	10216	1010
910	10227	999
911	10238	987
912	10249	976
913	10260	965
914	10272	954
915	10283	942
916	10294	931
917	10305	920
918	10316	909
919	10327	898
920	10338	886
921	10349	875
922	10360	864
923	10371	853
924	10382	841
925	10393	830
926	10405	819
927	10416	808
928	10427	796
929	10438	785
930	10449	774
931	10460	763
932	10470	751
933	10480	740
934	10491	729
935	10502	718
936	10513	706
937	10525	695
938	10536	684
939	10548	673
940	10559	662
941	10571	650
942	10582	639
943	10593	628
944	10605	617
945	10614	605
946	10624	594
947	10636	583
948	10647	572
949	10658	560
950	10669	549
951	10680	538
952	10692	527
953	10704	516
954	10714	504
955	10726	493
956	10737	482
957	10748	471
958	10759	460
959	10771	448
960	10781	437
961	10793	426
962	10804	415
963	10815	403
964	10826	392
965	10837	381
966	10849	370
967	10860	359
968	10870	347
969	10882	336
970	10893	325
971	10904	314
972	10916	302
973	10925	291
974	10937	280
975	10948	269
976	10960	258
977	10971	246
978	10981	235
979	10992	224
980	11003	213
981	11014	201
982	11025	190
983	11036	179
984	11048	168
985	11059	157
986	11070	145
987	11082	134
988	11093	123
989	11105	112
990	11117	100
991	11128	89
992	11140	78
993	11150	67
994	11161	56
995	11172	44
996	11184	33
997	11195	22
998	11206	11
999	11217	0
